Name,Endangerment,Speakers,Latitude,Longitude,CountriesCount,Countries
Pauwi,Vulnerable,100,-1.8151,137.8193,1,Indonesia
Piame,Severely endangered,100,-4.9,142.85,1,Papua New Guinea
Pyu,Severely endangered,100,-4.5,140.9,1,Indonesia
Ruga,Critically endangered,100,25.2844,90.4614,1,India
Sahaptin,Severely endangered,100,44.7712,-121.2871,1,United States of America
Samatao,Critically endangered,100,24.9359,102.7935,1,China
Seneca (United States of America),Severely endangered,100,42.3291,-78.868,1,United States of America
Senggi,Vulnerable,100,-3.4339,140.7685,1,Indonesia
Shawnee,Severely endangered,100,35.359,-96.9298,1,United States of America
Shiwiar,Severely endangered,100,-2.2186,-76.8164,1,Ecuador
Shompen,Critically endangered,100,7.0245,93.8232,1,India
Soo,Critically endangered,100,2.161,34.5986,1,Uganda
Tangam,Critically endangered,100,29.1473,94.5538,1,India
Tariana (Brazil),Critically endangered,100,0.9228,-67.5439,1,Brazil
Tirahi,Critically endangered,100,34.3139,70.3729,1,Afghanistan
"Ute (Colorado, Southern Ute)",Severely endangered,100,37.115,-107.6331,1,United States of America
Vehes,Severely endangered,100,-6.9427,146.9311,1,Papua New Guinea
Wik Ngathan,Definitely endangered,100,-14.9561,141.8884,1,Australia
Xokleng,Critically endangered,100,-26.5522,-49.0779,1,Brazil
Yangkam,Critically endangered,100,9.1048,9.8904,1,Nigeria
Yarawata,Severely endangered,98,-4.9377,145.4946,1,Papua New Guinea
O'odham (Mexico),Definitely endangered,94,31.5188,-112.7472,1,Mexico
Samosa,Severely endangered,94,-5.0116,145.5386,1,Papua New Guinea
Mindiri,Severely endangered,93,-5.5517,146.1538,1,Papua New Guinea
Usu,Severely endangered,93,-5.2851,145.4974,1,Papua New Guinea
Iteri,Severely endangered,90,-4.0807,141.5039,1,Papua New Guinea
Ngarinyin,Definitely endangered,90,-16.9096,125.4199,1,Australia
Repanbitip,Definitely endangered,90,-16.3155,167.6026,1,Vanuatu
Tofanma,Vulnerable,90,-3.5675,140.7925,1,Indonesia
Taiap,Severely endangered,89,-4.1,144.5,1,Papua New Guinea
Kusunda,Critically endangered,87,27.9275,84.2866,1,Nepal
